Food_Code,Display_Name,Grains,Vegetables,Fruits,Milk,Meats,Solid_Fats,Added_Sugars,Calories,Saturated_Fats
26107150,Fried catfish (breaded or battered),1.00035,0,0,0.03315,4.78335,180.9405,0,473.85,7.1175
26107150,Fried catfish (breaded or battered),0.58174,0,0,0.01928,2.7817,105.22386,0,275.562,4.1391
26109120,Baked or broiled cod,0,0,0.01488,0,3.04203,23.89635,0,113.46,0.5859
26109120,Baked or broiled cod,0,0,0.01814,0,4,29.13813,0,138.348,0.71442
26109150,Fried cod (breaded or battered),0.5841,0,0,0.0198,2.7918,70.7553,0,190.3,1.738
26109150,Fried cod (breaded or battered),0.60215,0,0,0.02041,2.87809,72.94228,0,196.182,1.79172
26115120,Baked or broiled flounder,0,0,0.0208,0,4.2536,33.462,0,172.9,1.118
26115120,Baked or broiled flounder,0,0,0.01814,0,4,29.18916,0,150.822,0.97524
26127120,Baked or broiled perch,0,0,0.01536,0,3.14112,24.68448,0,127.68,0.7104
26127120,Baked or broiled perch,0,0,0.01814,0,4,29.15854,0,150.822,0.83916
26137120,Baked or broiled salmon,0,0,0.02698,0,4.58802,43.68204,0,242.82,1.8602
26137120,Baked or broiled salmon,0,0,0.02622,0,4.45878,42.45156,0,235.98,1.8078
26137120,Baked or broiled salmon,0,0,0.02155,0,4,34.88411,0,193.914,1.48554
26137190,Smoked salmon (lox),0,0,0,0,0.7054,0,0,23.4,0.186
26137190,Smoked salmon (lox),0,0,0,0,0.9999,0,0,33.1695,0.26366
26151120,Baked or broiled trout,0,0,0.02608,0,5.33825,41.92686,0,306.44,3.8142
26151120,Baked or broiled trout,0,0,0.01814,0,4,29.16875,0,213.192,2.65356
26153120,Baked or broiled tuna,0,0,0.02384,0,4.88124,38.3526,0,227.97,1.2069
26153120,Baked or broiled tuna,0,0,0.01814,0,4,29.18916,0,173.502,0.91854
26155180,Canned tuna (in oil),0,0,0,0,2.8216,0,0,158.4,1.224
26155180,Canned tuna (in oil),0,0,0,0,1.99981,0,0,112.266,0.86751
26155190,Canned tuna (in water),0,0,0,0,2.94504,0,0,96.86,0.19205
